code,name,lon,lat,pm2.5,flag
111121,중구,126.9747,37.5643,12,도시대기
111123,종로구,127.0050,37.5720,13,도시대기
111131,용산구,127.0048,37.5400,9,도시대기 
111141,광진구,127.0925,37.5472,10,도시대기 
111142,성동구,127.0419,37.5432,14,도시대기
111151,중랑구,127.0940,37.5849,10,도시대기
111152,동대문구,127.0289,37.5758,14,도시대기
111161,성북구,127.0273,37.6067,12,도시대기
111171,도봉구,127.0290,37.6542,11,도시대기
111181,은평구,126.9348,37.6098,11,도시대기
111191,서대문구,126.9497,37.5938,12,도시대기
111201,마포구,126.9056,37.5556,13,도시대기
111212,강서구,126.8351,37.5447,13,도시대기
111221,구로구,126.8897,37.4985,10,도시대기
111231,영등포구,126.8974,37.5250,11,도시대기
111241,동작구,126.9715,37.4809,15,도시대기
111251,관악구,126.9271,37.4874,11,도시대기
111261,강남구,127.0481,37.5176,9,도시대기
111262,서초구,126.9945,37.5046,7,도시대기
111273,송파구,127.0925,37.5027,8,도시대기
111274,강동구,127.1368,37.5450,11,도시대기
111281,금천구,126.9083,37.4524,14,도시대기
111291,강북구,127.0119,37.6479,11,도시대기
111301,양천구,126.8566,37.5260,13,도시대기
111311,노원구,127.0679,37.6574,13,도시대기
111122,한강대로,126.9704,37.5491,24,도로변
111124,청계천로,126.9981,37.5686,23,도로변
111125,종로,126.9965,37.5709,18,도로변
111143,강변북로,127.0420,37.5387,28,도로변
111154,홍릉로,127.0444,37.5805,26,도로변
111162,정릉로,127.0260,37.6035,27,도로변
111202,신촌로,126.9361,37.5551,26,도로변
111213,공항대로,126.8247,37.5602,27,도로변
111232,영등포로,126.9046,37.5193,20,도로변
111242,동작대로,126.9803,37.4854,22,도로변
111263,도산대로,127.0203,37.5160,26,도로변
111264,강남대로,127.0357,37.4818,28,도로변
111275,천호대로,127.1393,37.5341,21,도로변
111312,화랑로,127.0751,37.6177,19,도로변
111282,시흥대로,126.8987,37.4750,24,도로변
